"","city","state","urls","employmentPer1000Jobs","latitude","longitude","name","long","lat"
"1","Huntsville","AL","https://www.bls.gov/oes/current/oes_26620.htm",2.371,32.318231,-86.902298,"Alabama",1232466.43224393,-1312794.68928045
"2","Anchorage","AK","https://www.bls.gov/oes/current/oes_11260.htm",1.533,63.588753,-154.493062,"Alaska",-1267218.62876868,-1935022.55248448
"3","Phoenix-Mesa-Scottsdale","AZ","https://www.bls.gov/oes/current/oes_38060.htm",0.727,34.048928,-111.093731,"Arizona",-1023194.87705016,-1148959.47872665
"4","Little Rock-North Little Rock-Conway","AR","https://www.bls.gov/oes/current/oes_30780.htm",1.96,35.20105,-91.831833,"Arkansas",743468.51280056,-1052338.934608
"5","Los Angeles-Long Beach-Anaheim","CA","https://www.bls.gov/oes/current/oes_31080.htm",0.857,36.778261,-119.417932,"California",-1714807.77425575,-713456.113633418
"6","Denver-Aurora-Lakewood","CO","https://www.bls.gov/oes/current/oes_19740.htm",NA,39.550051,-105.782067,"Colorado",-495811.915830755,-588494.237821458
"7","Bridgeport-Stamford-Norwalk","CT","https://www.bls.gov/oes/current/oes_71950.htm",1.663,41.603221,-73.087749,"Connecticut",2188836.96593724,-12852.7411912915
"8","Philadelphia-Camden-Wilmington","PA","https://www.bls.gov/oes/current/oes_37980.htm",1.031,41.203322,-77.194525,"Pennsylvania",1878612.60466867,-158642.795666945
"9","Washington-Arlington-Alexandria","DC","https://www.bls.gov/oes/current/oes_47900.htm",1.676,38.905985,-77.033418,"District of Columbia",1958768.42980226,-403461.370105737
"10","Jacksonville","FL","https://www.bls.gov/oes/current/oes_27260.htm",0.711,27.664827,-81.515754,"Florida",1824781.74696776,-1726349.57080026
"11","Atlanta-Sandy Springs-Roswell","GA","https://www.bls.gov/oes/current/oes_12060.htm",0.809,32.157435,-82.907123,"Georgia",1606095.25311096,-1264006.39475573
"12","Urban Honolulu","HI","https://www.bls.gov/oes/current/oes_46520.htm",0.378,19.898682,-155.665857,"Hawaii",-204409.780913804,-2228727.94301957
"13","Boise City","ID","https://www.bls.gov/oes/current/oes_14260.htm",1.507,44.068202,-114.742041,"Idaho",-1169801.50899777,2959.81658085635
