ab,State,city,Average Wage in Each State,Cost of Living,Cost of Housing,Cost of Utilities,Cost of Groceries,Median Gross Rent,Employment Per 1000 Jobs,long,lat
AK,Alaska,Anchorage,73324.3,78200.64,450730.00000000006,378.02700000000004,8186.48,15720,1.533,-149.900284,61.218056
AL,Alabama,Huntsville,71136.96,53995.68,223720.00000000003,279.15840000000003,6403.94,10416,2.371,-86.586105,34.73037
AR,Arkansas,Little Rock,68233.05,60202.08,292810,279.15840000000003,6073.84,10668,1.96,-92.289597,34.746483
AZ,Arizona,Phoenix,76613.18,64546.560000000005,384930,308.23740000000004,6535.98,13200,0.727,-112.072578,33.4482
CA,California,Los Angeles,93156.61,92475.36,753410,311.1453,7460.259999999999,18276,0.857,-118.243683,34.052235
CO,Colorado,Denver,88465.34,70752.95999999999,454019.99999999994,238.4478,6271.9,16764,NA,-104.99025,39.739235
CT,Connecticut,Bridgeport,97654.63,62064,240170,395.47440000000006,7196.18,14052,1.663,-73.189484,41.179192
DC,District of Columbia,Washington,98121.12,86268.95999999999,815920,282.0663,7262.200000000001,19284,1.676,-76.464844,39.65561
DE,Delaware,Wilmington,82987.56,68891.04000000001,368480.00000000006,261.711,7592.299999999999,12360,1.031,-75.545097,39.744431
FL,Florida,Jacksonville,73925,58340.159999999996,286230,282.0663,7262.200000000001,13068,0.711,-81.655647,30.332184
GA,Georgia,Atlanta,73916.32,65167.200000000004,368480.00000000006,244.2636,6469.96,14724,0.809,-84.387985,33.748997
HI,Hawaii,Honolulu,73701.28,119783.51999999999,1036350,476.8956,10101.06,21348,0.378,-157.858337,21.306944
IA,Iowa,Des Moines,71662.37,53375.04,240170,250.07940000000002,6535.98,10572,1.634,-93.624962,41.586834
ID,Idaho,Boise,74198.73,63305.28,365190.00000000006,238.4478,6205.879999999999,12108,1.507,-116.202316,43.615021
IL,Illinois,Chicago,83051.59,76338.72,523110,264.61890000000005,6866.08,13848,0.527,-87.629799,41.878113
IN,Indiana,Indianapolis,64515.87,56478.240000000005,266490,302.4216,6271.9,10932,0.722,-86.158066,39.768402
KS,Kansas,Wichita,68217.81,55857.6,227009.99999999997,287.88210000000004,6535.98,9852,0.578,-97.335571,37.68602
KY,Kentucky,Louisville,74884.12,59581.439999999995,269780,299.51370000000003,6205.879999999999,10536,1.091,-85.758453,38.252666
LA,Louisiana,New Orleans,67796.98,69511.68000000001,463890,221.0004,6535.98,12300,0.685,-90.071533,29.951065
MA,Massachusetts,Boston,95875.05,94957.92,740250,366.39540000000005,7790.36,20220,1.733,-71.057083,42.361145
MD,Maryland,Baltimore,91222.13,66408.48000000001,375059.99999999994,308.23740000000004,7262.200000000001,13128,1.272,-76.61219,39.290386
ME,Maine,Portland,69326.25,71373.59999999999,450730.00000000006,296.60580000000004,6734.04,14448,0.846,-68.972168,45.51223
MI,Michigan,Detroit,74945.16,63925.92,338870,287.88210000000004,6734.04,10200,0.964,-83.045753,42.331429
MN,Minnesota,Minneapolis,83714.56,63925.92,325710,282.0663,6734.04,12936,0.553,-93.265015,44.977753
MO,Missouri,Kansas City,76183.12,62064,302680,314.05320000000006,6602,11748,1.024,-94.578568,39.099728
MS,Mississippi,Jackson,60600.53,49651.200000000004,207270,247.1715,6007.820000000001,10272,0.611,-90.184807,32.298756
MT,Montana,Billings,72506.58,58340.159999999996,329000,261.711,6535.98,11076,1.258,-108.504578,45.78265
NC,North Carolina,Charlotte,77584.89,58960.799999999996,269780,273.3426,6535.98,14220,0.964,-80.841141,35.223789
ND,North Dakota,Fargo,64160.34,58340.159999999996,273070,264.61890000000005,6668.02,9852,1.778,-96.78464,46.87696
NE,Nebraska,Omaha,67247.4,59581.439999999995,305970,279.15840000000003,6469.96,11376,2.133,-95.934502,41.256538
